datetime order_book_id side position_effect
2020-08-31 14:15:00 I88 SELL OPEN
2020-08-31 14:16:00 I88 BUY CLOSE_TODAY
2020-09-02 21:01:00 I88 SELL OPEN
2020-09-02 21:06:00 I88 BUY CLOSE_TODAY
2020-09-02 21:07:00 I88 SELL OPEN
2020-09-02 21:17:00 I88 BUY CLOSE_TODAY
2020-09-02 21:19:00 I88 SELL OPEN
2020-09-02 21:33:00 I88 BUY CLOSE_TODAY
2020-09-02 22:57:00 I88 SELL OPEN
2020-09-02 22:58:00 I88 BUY CLOSE_TODAY
2020-09-03 09:02:00 I88 SELL OPEN
2020-09-03 09:05:00 I88 BUY CLOSE_TODAY
2020-09-03 09:08:00 I88 SELL OPEN
2020-09-03 09:09:00 I88 BUY CLOSE_TODAY
2020-09-03 09:10:00 I88 SELL OPEN
2020-09-03 09:13:00 I88 BUY CLOSE_TODAY
2020-09-03 09:14:00 I88 SELL OPEN
2020-09-03 09:17:00 I88 BUY CLOSE_TODAY
2020-09-03 09:18:00 I88 SELL OPEN
2020-09-03 09:24:00 I88 BUY CLOSE_TODAY
2020-09-03 09:26:00 I88 SELL OPEN
2020-09-03 09:29:00 I88 BUY CLOSE_TODAY
2020-09-03 09:34:00 I88 SELL OPEN
2020-09-03 09:35:00 I88 BUY CLOSE_TODAY
2020-09-03 09:37:00 I88 SELL OPEN
2020-09-03 09:41:00 I88 BUY CLOSE_TODAY
2020-09-03 09:42:00 I88 SELL OPEN
2020-09-03 09:44:00 I88 BUY CLOSE_TODAY
2020-09-03 10:15:00 I88 SELL OPEN
2020-09-03 10:34:00 I88 BUY CLOSE_TODAY
2020-09-03 22:44:00 I88 BUY OPEN
2020-09-03 22:51:00 I88 SELL CLOSE_TODAY
2020-09-04 09:25:00 I88 BUY OPEN
2020-09-04 09:26:00 I88 SELL CLOSE_TODAY
2020-09-04 09:35:00 I88 BUY OPEN
2020-09-04 09:39:00 I88 SELL CLOSE_TODAY
2020-09-04 09:41:00 I88 BUY OPEN
2020-09-04 09:42:00 I88 SELL CLOSE_TODAY
2020-09-04 09:44:00 I88 BUY OPEN
2020-09-04 09:45:00 I88 SELL CLOSE_TODAY
2020-09-04 21:01:00 I88 SELL OPEN
2020-09-04 21:18:00 I88 BUY CLOSE_TODAY
2020-09-04 22:01:00 I88 SELL OPEN
2020-09-04 22:02:00 I88 BUY CLOSE_TODAY
2020-09-04 22:03:00 I88 SELL OPEN
2020-09-04 22:04:00 I88 BUY CLOSE_TODAY
2020-09-07 10:57:00 I88 BUY OPEN
2020-09-07 11:08:00 I88 SELL CLOSE_TODAY
2020-09-07 11:11:00 I88 BUY OPEN
2020-09-07 11:12:00 I88 SELL CLOSE_TODAY
2020-09-07 11:16:00 I88 BUY OPEN
2020-09-07 11:19:00 I88 SELL CLOSE_TODAY
2020-09-07 11:20:00 I88 BUY OPEN
2020-09-07 11:24:00 I88 SELL CLOSE_TODAY
2020-09-07 13:48:00 I88 BUY OPEN
2020-09-07 13:49:00 I88 SELL CLOSE_TODAY
2020-09-07 14:11:00 I88 BUY OPEN
2020-09-07 14:12:00 I88 SELL CLOSE_TODAY
2020-09-07 14:13:00 I88 BUY OPEN
2020-09-07 14:14:00 I88 SELL CLOSE_TODAY
2020-09-07 14:15:00 I88 BUY OPEN
2020-09-07 14:17:00 I88 SELL CLOSE_TODAY
2020-09-07 14:18:00 I88 BUY OPEN
